planning_room_id,mission_count_all,mission_count_ems,mission_count_ems_critical,mission_count_ems_critical_cpr,mission_count_fire,mission_count_technical_rescue
1100101,668,414,325,10,43,39
1100102,1830,1544,1136,7,192,92
1100103,1104,844,677,11,47,40
1100104,493,415,344,8,46,32
1100205,990,860,654,1,88,42
1100206,2484,2176,1644,9,227,80
1100207,1452,1257,1004,11,125,70
1100308,2069,1199,901,11,140,75
1100309,2176,1741,1258,14,212,93
1100310,5207,4776,3474,31,281,148
1100311,1694,1525,1193,27,108,61
1100312,1354,1249,1026,4,55,49
1100313,1333,1226,991,7,54,53
1100414,435,388,304,7,31,16
1100415,1257,1124,890,12,74,59
1100416,924,830,648,8,33,61
1200517,950,842,636,5,66,42
1200518,684,622,484,7,36,26
1200519,972,883,710,9,33,56
1200520,1099,1028,790,10,37,34
1200521,599,549,444,4,21,29
1200522,1240,1136,920,8,52,52
1200623,1335,1239,867,7,43,53
1200624,749,638,495,8,71,40
1200625,1008,947,765,12,36,24
1200626,923,861,724,9,33,29
1200627,784,755,588,9,15,14
1200628,2978,2708,1955,9,225,45
1200629,819,735,586,9,42,42
1300730,1428,1103,907,13,34,47
1300731,1009,926,775,9,37,45
1300732,1054,970,794,16,45,39
1300733,1644,1513,1186,10,63,67
1300834,2184,2007,1611,19,90,87
1300835,1603,1474,1197,14,61,68
1300836,2472,2212,1749,28,125,135
1400937,1713,1611,1292,12,47,55
1400938,2452,1189,990,19,58,82
1400939,814,752,594,9,44,17
1400940,1156,1090,933,13,38,28
1400941,622,600,497,3,9,13
1400942,1220,1099,875,13,72,49
1401043,1190,1127,954,18,30,33
1401044,1143,1045,843,10,36,62
1401045,1113,1029,826,12,31,53
1401046,751,687,560,8,35,29
1401047,1089,1004,794,7,36,49
1401048,1306,1206,947,18,48,52
1401049,1554,1267,1040,16,40,25
2100101,1364,1204,907,9,95,64
2100102,1650,1391,1113,11,168,91
2100103,603,533,441,7,44,26
2100104,1026,926,729,2,49,51
2100105,1367,1229,1002,9,53,85
2100106,1285,1186,897,16,31,68
2200207,434,377,278,2,45,12
2200208,1051,974,775,10,42,35
2200209,906,813,643,9,38,55
2200210,1365,1236,979,12,60,67
2200211,1464,1377,1148,16,40,47
2200212,1019,935,755,13,39,45
2200213,1924,1246,972,16,97,68
2300314,1573,1484,1138,12,44,45
2300315,938,852,685,12,40,46
2300316,806,737,585,14,29,40
2300417,1055,970,765,10,35,50
2300418,1018,920,706,11,58,40
2300419,1414,1305,991,15,59,50
2400520,1563,954,778,11,58,40
2400521,963,893,726,9,28,42
2400522,1171,1082,885,14,44,45
2400623,2872,2705,2113,27,87,79
