planning_room_id,mission_count_all,mission_count_ems,mission_count_ems_critical,mission_count_ems_critical_cpr,mission_count_fire,mission_count_technical_rescue
1100101,311,218,158,2,16,7
1100102,721,595,356,3,88,36
1100103,540,417,289,5,24,20
1100104,226,193,131,2,19,14
1100205,433,376,252,4,36,21
1100206,1180,1049,595,2,102,27
1100207,733,631,454,11,66,36
1100308,949,552,359,4,68,26
1100309,1037,832,507,5,106,37
1100310,2316,2110,1191,13,151,55
1100311,756,700,465,8,35,21
1100312,636,594,476,7,29,13
1100313,557,511,384,3,30,16
1100414,223,195,140,2,17,11
1100415,612,545,367,6,36,31
1100416,473,424,300,3,21,28
1200517,389,335,233,2,23,31
1200518,314,298,226,6,10,6
1200519,395,369,275,1,9,17
1200520,553,495,354,6,27,31
1200521,287,270,202,1,10,7
1200522,649,607,418,5,26,16
1200623,534,490,337,2,19,21
1200624,336,280,181,4,42,14
1200625,484,445,325,5,25,14
1200626,342,316,233,1,17,9
1200627,464,450,281,7,6,8
1200628,1344,1217,679,5,109,18
1200629,364,331,232,5,19,14
1300730,694,552,404,9,21,16
1300731,483,449,346,5,17,16
1300732,554,522,401,6,11,21
1300733,817,748,505,5,27,42
1300834,1002,923,655,6,40,39
1300835,715,650,494,3,34,30
1300836,1146,1037,721,11,52,56
1400937,681,634,487,9,22,24
1400938,1174,550,389,8,34,29
1400939,408,375,278,2,18,15
1400940,470,440,350,6,20,10
1400941,288,274,216,5,8,6
1400942,556,512,365,5,28,16
1401043,557,530,403,9,16,11
1401044,450,410,311,5,22,18
1401045,508,489,333,3,9,10
1401046,389,367,258,4,15,7
1401047,495,455,306,3,18,22
1401048,568,517,362,5,30,21
1401049,830,703,529,10,16,27
2100101,634,552,367,6,46,36
2100102,786,678,495,3,71,37
2100103,280,256,187,0,15,9
2100104,490,446,315,9,22,22
2100105,567,532,390,3,20,15
2100106,571,518,322,2,27,26
2200207,229,201,119,1,19,9
2200208,502,472,323,3,17,13
2200209,438,394,288,3,18,26
2200210,678,611,415,7,19,48
2200211,657,614,453,5,26,16
2200212,440,412,295,2,16,12
2200213,847,544,356,1,39,36
2300314,819,775,487,9,24,20
2300315,432,407,288,4,15,10
2300316,337,308,214,5,11,18
2300417,543,506,346,5,19,17
2300418,471,411,262,4,34,26
2300419,626,581,366,4,17,28
2400520,680,451,334,9,35,12
2400521,438,405,291,4,14,19
2400522,522,492,381,11,12,18
2400623,1286,1205,796,7,45,36
2400624,668,618,421,4,24,26
2400625,558,467,266,1,63,27
2500726,336,311,232,1,13,12
2500727,261,234,146,4,16,11
2500728,488,443,269,5,26,19
2500729,329,306,205,2,12,11
2500830,162,152,103,1,6,4
2500831,322,280,205,4,28,14
2500832,314,283,204,7,21,10
2500833,482,434,286,2,30,18
2500834,528,482,307,8,20,26
2500835,951,869,535,4,44,38
2500836,240,219,161,5,8,13
3100101,261,235,166,5,16,10
3100102,376,235,183,0,11,8
3100103,682,642,499,9,25,15
